species,easternNoAm,europe,africa,india,palearctic_asia,malaysianPenninsula,greaterSunda,lesserSunda,philippines
Nyctalus lasiopterus,0,1,0,0,0,0,0,0,0
Nyctalus leisleri,0,1,0,1,1,0,0,0,0
Nyctalus montanus,0,0,0,1,1,0,0,0,0
Nyctalus noctula,0,1,0,0,1,0,0,0,0
Nyctalus plancyi,0,0,0,1,1,1,0,0,1
Nycteris aurita,0,0,1,0,0,0,0,0,0
Nycteris grandis,0,0,1,0,0,0,0,0,0
Nycteris hispida,0,0,1,0,0,0,0,0,0
Nycteris javanica,0,0,0,0,0,0,1,0,0
Nycteris major,0,0,1,0,0,0,0,0,0
Nycteris thebaica,0,1,1,0,0,0,0,0,0
Nycteris tragata,0,0,0,0,0,1,1,0,1
Nyctinomops aurispinosus,1,0,0,0,0,0,0,0,0
Nyctinomops femorosaccus,1,0,0,0,0,0,0,0,0
Nyctinomops laticaudatus,1,0,0,0,0,0,0,0,0
Nyctinomops macrotis,1,0,0,0,0,0,0,0,0
Otomops madagascariensis,0,0,1,0,0,0,0,0,0
Otomops martiensseni,0,0,1,0,0,0,0,0,0
Otomops wroughtoni,0,0,0,1,0,0,0,0,0
Pteronotus davyi,1,0,0,0,0,0,0,0,0
Pteronotus gymnonotus,1,0,0,0,0,0,0,0,0
Pteronotus parnellii,1,0,0,0,0,0,0,0,0
Rhinolophus acuminatus,0,0,0,0,0,1,1,1,1
Rhinolophus affinis,0,0,0,1,1,1,1,1,1
Rhinolophus alcyone,0,0,1,0,0,0,0,0,0
Rhinolophus beddomei,0,0,0,1,0,0,0,0,0
Rhinolophus blasii,0,1,1,0,0,0,0,0,0
Rhinolophus canuti,0,0,0,0,0,0,1,1,0
Rhinolophus capensis,0,0,1,0,0,0,0,0,0
Rhinolophus chaseni,0,0,0,0,0,1,0,0,0
Rhinolophus clivosus,0,0,1,0,0,0,0,0,0
Rhinolophus creaghi,0,0,0,0,0,0,1,0,1
Rhinolophus darlingi,0,0,1,0,0,0,0,0,0
Rhinolophus deckenii,0,0,1,0,0,0,0,0,0
Rhinolophus eloquens,0,0,1,0,0,0,0,0,0
Rhinolophus euryale,0,1,0,0,0,0,0,0,0
Rhinolophus euryotis,0,0,0,0,0,0,0,1,0
Rhinolophus ferrumequinum,0,1,0,1,1,1,0,0,0
Rhinolophus formosae,0,0,0,0,1,0,0,0,0
Rhinolophus francisi,0,0,0,0,0,1,1,0,1
Rhinolophus fumigatus,0,0,1,0,0,0,0,0,0
Rhinolophus hildebrandtii,0,0,1,0,0,0,0,0,0
Rhinolophus hilli,0,0,1,0,0,0,0,0,0
Rhinolophus inops,0,0,0,0,0,0,0,0,1
Rhinolophus landeri,0,0,1,0,0,0,0,0,0
Rhinolophus luctoides,0,0,0,0,0,1,1,0,0
Rhinolophus luctus,0,0,0,1,1,1,1,0,1
Rhinolophus maendeleo,0,0,1,0,0,0,0,0,0
Rhinolophus mehelyi,0,1,0,0,0,0,0,0,0
Rhinolophus mossambicus,0,0,1,0,0,0,0,0,0
Rhinolophus pearsonii,0,0,0,1,1,1,1,0,0
Rhinolophus philippinensis,0,0,0,0,0,0,1,1,1
Rhinolophus rex,0,0,0,0,1,1,0,0,0
Rhinolophus robinsoni,0,0,0,0,0,1,1,0,0
Rhinolophus rouxii,0,0,0,1,1,1,0,0,0
Rhinolophus rufus,0,0,0,0,0,0,0,0,1
Rhinolophus ruwenzorii,0,0,1,0,0,0,0,0,0
Rhinolophus sedulus,0,0,0,0,0,1,1,0,1
Rhinolophus shameli,0,0,0,0,1,1,0,0,0
Rhinolophus sinicus,0,0,0,1,1,1,0,0,0
Rhinolophus smithersi,0,0,1,0,0,0,0,0,0
Rhinolophus subrufus,0,0,0,0,0,0,0,0,1
Rhinolophus thomasi,0,0,0,1,1,1,0,0,0
Rhinolophus trifoliatus,0,0,0,0,0,1,1,0,1
Rhinolophus willardi,0,0,1,0,0,0,0,0,0
Rhinolophus yunanensis,0,0,0,1,1,1,0,0,0
Scotophilus andrewreborii,0,0,1,0,0,0,0,0,0
Scotophilus dinganii,0,0,1,0,0,0,0,0,0
Scotophilus heathii,0,0,0,1,1,1,0,0,0
Scotophilus kuhlii,0,0,0,1,1,1,1,1,1
Scotophilus leucogaster,0,0,1,0,0,0,0,0,0
Scotophilus marovaza,0,0,1,0,0,0,0,0,0
Scotophilus nigrita,0,0,1,0,0,0,0,0,0
Scotophilus nux,0,0,1,0,0,0,0,0,0
Scotophilus robustus,0,0,1,0,0,0,0,0,0
Scotophilus viridis,0,0,1,0,0,0,0,0,0
Tadarida aegyptiaca,0,0,1,1,0,0,0,0,0
Tadarida brasiliensis,1,0,0,0,0,0,0,0,0
Tadarida fulminans,0,0,1,0,0,0,0,0,0
Tadarida insignis,0,0,0,0,1,1,0,0,0
Tadarida lobata,0,0,1,0,0,0,0,0,0
Tadarida teniotis,0,1,0,1,1,1,0,0,0
Tadarida ventralis,0,0,1,0,0,0,0,0,0
Taphozous longimanus,0,0,0,1,1,1,1,0,1
Taphozous mauritianus,0,0,1,0,0,0,0,0,0
Taphozous melanopogon,0,0,0,1,1,1,1,1,1
Taphozous nudiventris,0,0,1,1,1,1,0,0,0
Taphozous perforatus,0,0,1,1,0,0,0,0,0
Vespertilio murinus,0,1,0,1,1,0,0,0,0
Vespertilio sinensis,0,0,0,0,1,0,0,0,0
